year,geoid,office,party abbr,party name,candidate,votes,percentage
2016,06,President,DEM,,Hillary Clinton,8753788,61.7
2016,06,President,"REP, AI",,Donald J. Trump,4483810,31.6
2016,06,President,LIB,,Gary Johnson,478500,3.4
2016,06,President,GRN,,Jill Stein,278657,2.0
2016,06,President,(W/I),,"Bernard ""Bernie"" Sanders",79341,0.6
2016,06,President,PF,,Gloria Estela La Riva,66101,0.5
2016,06,President,(W/I),,Evan McMullin,39596,0.3
2016,06,President,(W/I),,Mike Maturen,1316,0.0
2016,06,President,(W/I),,Laurence Kotlikoff,402,0.0
2016,06,President,(W/I),,Jerry White,84,0.0
2016,0601,United States Representative District 1,REP,,Doug La Malfa,185448,59.1
2016,0601,United States Representative District 1,DEM,,Jim Reed,128588,40.9
2016,0602,United States Representative District 2,DEM,,Jared W. Huffman,254194,76.9
2016,0602,United States Representative District 2,REP,,Dale K. Mensing,76572,23.1
2016,0603,United States Representative District 3,DEM,,John Garamendi,152513,59.4
2016,0603,United States Representative District 3,REP,,N Eugene Cleek,104453,40.6
2016,0604,United States Representative District 4,REP,,Tom McClintock,220133,62.7
2016,0604,United States Representative District 4,DEM,,Robert W. Derlet,130845,37.3
2016,0605,United States Representative District 5,DEM,,Mike Thompson,224526,76.9
2016,0605,United States Representative District 5,REP,,Carlos Santamaria,67565,23.1
2016,0606,United States Representative District 6,DEM,,Doris Matsui,177565,75.4
2016,0606,United States Representative District 6,REP,,Robert (Bob) Evans,57848,24.6
2016,0607,United States Representative District 7,DEM,,Ami Bera,152133,51.2
2016,0607,United States Representative District 7,REP,,Scott R. Jones,145168,48.8
2016,0608,United States Representative District 8,REP,,Paul Cook,136972,62.3
2016,0608,United States Representative District 8,DEM,,Rita Ramirez,83035,37.7
2016,0609,United States Representative District 9,DEM,,Jerry McNerney,133163,57.4
2016,0609,United States Representative District 9,REP,,"Antonio C. ""Tony"" Amador",98992,42.6
2016,0623,United States Representative District 23,REP,,Kevin McCarthy,167116,69.2
2016,0623,United States Representative District 23,DEM,,Wendy Reed,74468,30.8
2016,0624,United States Representative District 24,DEM,,Salud Carbajal,166034,53.4
2016,0624,United States Representative District 24,REP,,Justin Donald Fareed,144780,46.6
2016,0625,United States Representative District 25,REP,,Steve Knight,138755,53.1
2016,0625,United States Representative District 25,DEM,,Bryan Caforio,122406,46.9
2016,0626,United States Representative District 26,DEM,,Julia Brownley,169248,60.4
2016,0626,United States Representative District 26,REP,,Rafael A. Dagnesses,111059,39.6
2016,0627,United States Representative District 27,DEM,,Judy Chu,168977,67.4
2016,0627,United States Representative District 27,REP,,Jack Orswell,81655,32.6
2016,0628,United States Representative District 28,DEM,,Adam B. Schiff,210883,78.0
