shape_id,county_name,precinct_id,sen_red,sen_blue,con_any_districts,con_red_votes,con_blue_votes,sldu_districts,sldu_red_votes,sldu_blue_votes,sldl_districts,sldl_red_votes,sldl_blue_votes,population,white_pop,black_pop,asian_pop,hispanic_pop,other_pop,median_age,median_income,education_pop,school_pop,diploma_pop,college_pop,graduate_pop,area_km2
2368,ALAMANCE,01,1071,295,2,1109,313,24,1166,,64,1138,,5259,4918,148,0,85,108,64,67465,3679,727,1518,1278,156,129
2366,ALAMANCE,02,1246,313,6,1285,314,24,1350,,64,1293,,5274,4479,273,216,203,102,46,55405,3525,601,1318,1361,245,77
2361,ALAMANCE,035,920,434,6,955,431,24,1053,,64,981,,7191,5448,819,96,624,204,38,49949,3624,684,1173,1591,176,27
2374,ALAMANCE,03C,943,455,6,979,447,24,1079,,63064,923,411,3236,2835,184,46,127,44,43,62247,2237,133,557,1167,381,5
2723,ALAMANCE,03N,862,586,6,881,582,24,1018,,64,981,,4764,4182,361,116,85,20,40,69556,2792,92,691,1508,501,5
2372,ALAMANCE,03N2,201,267,6,213,262,24,262,,64,236,,498,463,14,5,13,3,9,11873,390,16,78,197,99,1
2363,ALAMANCE,03S,1388,906,6,1453,894,24,1648,,64,1584,,6365,4499,475,761,517,113,51,67691,4459,551,1104,2306,497,21
2373,ALAMANCE,03W,738,396,6,754,412,24,869,,64,828,,2708,2430,129,33,86,29,38,52566,1895,127,408,945,415,6
2357,ALAMANCE,04,1287,396,6,1339,402,24,1425,,64,1329,,6221,5387,392,27,347,68,48,61922,4158,636,1405,1914,203,94
2356,ALAMANCE,05,853,251,6,895,246,24,959,,64,899,,4161,3263,458,13,323,105,59,55715,3048,599,1262,1055,132,88
10,ALAMANCE,063,354,549,4,350,563,24,503,,63064,277,469,3975,1368,1289,42,1215,62,17,16740,2469,724,966,723,56,6
15,ALAMANCE,064,1169,686,6,1208,692,24,1388,,63,1211,650,6533,4183,473,55,1722,99,70,92348,4377,624,1564,1948,240,17
9,ALAMANCE,06E,423,432,6,468,416,24,566,,63,447,430,2527,1453,499,46,454,75,31,29610,1651,283,579,659,130,6
7,ALAMANCE,06N,231,466,4,237,469,24,356,,63,264,444,4123,1773,1203,22,880,245,36,23618,2652,747,1146,702,56,4
2364,ALAMANCE,06S,695,418,6,747,434,24,848,,63,739,403,4353,3037,807,17,347,144,50,45209,3073,549,1117,1228,179,13
137,ALAMANCE,06W,181,182,6,193,181,24,243,,63064,169,162,1777,795,541,9,368,65,11,8668,1039,289,421,322,7,2
2365,ALAMANCE,07,1029,312,6,1043,320,24,1099,,64,1054,,3942,3371,301,40,194,37,40,41604,2778,452,1041,1116,170,54
2367,ALAMANCE,08N,689,413,6,723,424,24,816,,64,785,,3847,3374,245,11,157,61,37,43457,2749,393,1059,1135,162,87
2369,ALAMANCE,08S,440,195,6,455,201,24,504,,64,485,,2877,2521,180,0,129,47,30,36589,2090,260,837,854,140,83
89,ALAMANCE,09N,505,345,6,523,350,24,610,,63,529,334,1784,1369,167,12,182,53,20,24345,1276,200,435,567,75,14
87,ALAMANCE,09S,1028,675,6,1058,703,24,1223,,63,1055,675,6724,4901,940,41,687,156,73,89824,4898,857,1783,1903,355,75
2371,ALAMANCE,103,784,342,6,809,347,24,876,,63,782,345,4760,3239,626,11,660,225,40,50162,3241,485,1119,1476,161,31
2355,ALAMANCE,10N,963,605,6,1004,615,24,1151,,63,987,601,3645,2714,480,4,402,45,42,52437,2627,330,842,1277,179,20
14,ALAMANCE,10S,1261,1354,6,1345,1334,24,1665,,63,1313,1328,9518,6310,2215,118,561,314,65,88637,6203,459,2127,3023,595,22
13,ALAMANCE,11,533,778,4,532,784,24,699,,63,552,752,4944,2998,1419,59,293,174,39,39748,3529,545,1437,1280,268,113
8,ALAMANCE,1210,358,309,6,389,310,24,483,,63,386,295,1294,658,445,59,120,12,13,11952,835,111,281,409,34,3
2360,ALAMANCE,124,491,391,6,505,397,24,611,,63,503,390,1902,1462,198,29,161,52,33,31807,1419,129,315,772,203,3
12,ALAMANCE,125,595,325,6,646,311,24,677,,63,606,320,2104,1436,401,36,160,71,20,21509,1505,195,454,745,111,3
2359,ALAMANCE,126,670,416,6,679,409,24,790,,63,658,444,2156,1896,122,29,63,45,42,50095,1721,94,329,987,312,3
2358,ALAMANCE,127,318,1137,4,326,1110,24,566,,64,542,,8435,2365,3866,3,1799,401,62,55304,5357,1471,2161,1563,162,14
16,ALAMANCE,128,181,408,4,188,415,24,307,,64,280,,3356,1629,958,29,626,114,24,19534,2118,428,747,845,97,3
2362,ALAMANCE,129,535,253,6,563,245,24,616,,63,555,237,5161,3116,1291,195,474,84,66,63888,3453,541,1234,1509,170,17
138,ALAMANCE,12E,180,271,4,174,272,24,258,,64,241,,3184,1214,1081,30,781,79,29,20859,2164,753,880,483,47,3
11,ALAMANCE,12N,129,1163,4,152,1111,24,377,,64,349,,4683,1315,2071,25,1121,151,27,22848,3009,796,1217,934,63,7
88,ALAMANCE,12S,94,258,4,95,253,24,173,,64,151,,3077,1311,976,13,666,111,17,12945,1823,531,731,548,14,2
139,ALAMANCE,12W,457,481,6,476,484,24,576,,63,462,492,2397,1327,548,15,424,83,23,19200,1663,227,519,767,150,3
2354,ALAMANCE,13,578,682,406,504,683,24,772,,63,623,652,6454,3274,1668,24,1371,117,46,40300,4050,764,1751,1409,126,37
