Race,District,Winner,Dem?,Rep?,Other?,Dem Votes,Rep Votes,Other Votes,year,chamber,district_id,is_contested
State House 2012,District 1,Republican,Yes,Yes,No,16663,21505,,2012,sldl,001,Yes
State House 2012,District 2,Democratic,Yes,Yes,No,20398,15587,,2012,sldl,002,Yes
State House 2012,District 3,Republican,Yes,Yes,No,14320,20811,,2012,sldl,003,Yes
State House 2012,District 4,Republican,Yes,Yes,Yes,9896,20371,1053,2012,sldl,004,Yes
State House 2012,District 5,Democratic,Yes,No,No,27458,,,2012,sldl,005,No
State House 2012,District 6,Democratic,Yes,Yes,No,20756,20298,,2012,sldl,006,Yes
State House 2012,District 7,Democratic,Yes,No,No,27761,,,2012,sldl,007,No
State House 2012,District 8,Republican,Yes,Yes,No,17982,24019,,2012,sldl,008,Yes
State House 2012,District 9,Republican,Yes,Yes,No,18644,19780,,2012,sldl,009,Yes
State House 2012,District 10,Republican,Yes,Yes,No,12270,24475,,2012,sldl,010,Yes
State House 2012,District 11,Democratic,Yes,No,No,27247,,,2012,sldl,011,No
State House 2012,District 12,Democratic,Yes,Yes,No,22064,11443,,2012,sldl,012,Yes
State House 2012,District 13,Republican,No,Yes,Yes,,28416,3752,2012,sldl,013,No
State House 2012,District 14,Republican,No,Yes,No,,15861,,2012,sldl,014,No
State House 2012,District 15,Republican,No,Yes,No,,12111,,2012,sldl,015,No
State House 2012,District 16,Republican,No,Yes,No,,22254,,2012,sldl,016,No
State House 2012,District 17,Republican,Yes,Yes,No,14107,27578,,2012,sldl,017,Yes
State House 2012,District 18,Democratic,Yes,Yes,No,22588,11362,,2012,sldl,018,Yes
State House 2012,District 19,Republican,Yes,Yes,No,15131,22958,,2012,sldl,019,Yes
State House 2012,District 20,Republican,Yes,Yes,No,14179,25282,,2012,sldl,020,Yes
State House 2012,District 21,Democratic,Yes,No,No,25631,,,2012,sldl,021,No
State House 2012,District 22,Democratic,Yes,No,No,21187,,,2012,sldl,022,No
State House 2012,District 23,Democratic,Yes,No,No,30670,,,2012,sldl,023,No
State House 2012,District 24,Democratic,Yes,No,No,28724,,,2012,sldl,024,No
State House 2012,District 25,Republican,Yes,Yes,No,14164,24434,,2012,sldl,025,Yes
State House 2012,District 26,Republican,Yes,Yes,No,15633,23125,,2012,sldl,026,Yes
State House 2012,District 27,Democratic,Yes,No,Yes,29714,,2960,2012,sldl,027,No
State House 2012,District 28,Republican,No,Yes,No,,25169,,2012,sldl,028,No
State House 2012,District 29,Democratic,Yes,No,No,38181,,,2012,sldl,029,No
State House 2012,District 30,Democratic,Yes,No,No,33697,,,2012,sldl,030,No
State House 2012,District 31,Democratic,Yes,No,No,32497,,,2012,sldl,031,No
State House 2012,District 32,Democratic,Yes,Yes,No,27057,11170,,2012,sldl,032,Yes
State House 2012,District 33,Democratic,Yes,No,No,31386,,,2012,sldl,033,No
State House 2012,District 34,Democratic,Yes,No,No,32206,,,2012,sldl,034,No
State House 2012,District 35,Republican,Yes,Yes,No,19778,20435,,2012,sldl,035,Yes
State House 2012,District 36,Republican,Yes,Yes,No,21485,26217,,2012,sldl,036,Yes
State House 2012,District 37,Republican,Yes,Yes,No,18809,24942,,2012,sldl,037,Yes
State House 2012,District 38,Democratic,Yes,No,Yes,29665,,4169,2012,sldl,038,No
State House 2012,District 39,Democratic,Yes,No,No,27585,,,2012,sldl,039,No
State House 2012,District 40,Republican,Yes,Yes,Yes,17541,22613,1828,2012,sldl,040,Yes
State House 2012,District 41,Republican,Yes,Yes,No,20150,21639,,2012,sldl,041,Yes
State House 2012,District 42,Democratic,Yes,Yes,No,23240,6766,,2012,sldl,042,Yes
State House 2012,District 43,Democratic,Yes,Yes,No,23832,10417,,2012,sldl,043,Yes
State House 2012,District 44,Democratic,Yes,Yes,No,17266,13398,,2012,sldl,044,Yes
State House 2012,District 45,Republican,Yes,Yes,No,12532,16208,,2012,sldl,045,Yes
State House 2012,District 46,Democratic,Yes,Yes,No,18160,15431,,2012,sldl,046,Yes
State House 2012,District 47,Democratic,Yes,No,No,18322,,,2012,sldl,047,No
State House 2012,District 48,Democratic,Yes,No,No,27193,,,2012,sldl,048,No
State House 2012,District 49,Republican,Yes,Yes,No,24134,28300,,2012,sldl,049,Yes
State House 2012,District 50,Democratic,Yes,Yes,No,24806,20266,,2012,sldl,050,Yes
State House 2012,District 51,Republican,Yes,Yes,No,14533,15764,,2012,sldl,051,Yes
State House 2012,District 52,Republican,No,Yes,No,,27521,,2012,sldl,052,No
State House 2012,District 53,Republican,Yes,Yes,No,13370,17365,,2012,sldl,053,Yes
State House 2012,District 54,Democratic,Yes,Yes,No,22159,17339,,2012,sldl,054,Yes
State House 2012,District 55,Republican,Yes,Yes,No,14540,18962,,2012,sldl,055,Yes
State House 2012,District 56,Democratic,Yes,Yes,No,35173,10248,,2012,sldl,056,Yes
State House 2012,District 57,Democratic,Yes,No,No,32020,,,2012,sldl,057,No
State House 2012,District 58,Democratic,Yes,Yes,No,32895,8294,,2012,sldl,058,Yes
State House 2012,District 59,Republican,No,Yes,No,,32872,,2012,sldl,059,No
State House 2012,District 60,Democratic,Yes,No,No,27755,,,2012,sldl,060,No
State House 2012,District 61,Republican,Yes,Yes,No,14988,26465,,2012,sldl,061,Yes
State House 2012,District 62,Republican,No,Yes,Yes,,27633,8574,2012,sldl,062,No
