shape_id,county_name,precinct_id,pres_red,pres_blue,gov_red,gov_blue,con_any_districts,con_red_votes,con_blue_votes
2403,ALAMANCE,01,,,,,,,
2401,ALAMANCE,02,,,,,,,
2396,ALAMANCE,035,,,,,,,
2409,ALAMANCE,03C,,,,,,,
2410,ALAMANCE,03N,,,,,,,
2407,ALAMANCE,03N2,,,,,,,
2398,ALAMANCE,03S,,,,,,,
2408,ALAMANCE,03W,,,,,,,
2392,ALAMANCE,04,,,,,,,
2391,ALAMANCE,05,,,,,,,
4,ALAMANCE,063,,,,,,,
9,ALAMANCE,064,,,,,,,
3,ALAMANCE,06E,,,,,,,
1,ALAMANCE,06N,,,,,,,
2399,ALAMANCE,06S,,,,,,,
131,ALAMANCE,06W,,,,,,,
2400,ALAMANCE,07,,,,,,,
2402,ALAMANCE,08N,,,,,,,
2404,ALAMANCE,08S,,,,,,,
83,ALAMANCE,09N,,,,,,,
81,ALAMANCE,09S,,,,,,,
2406,ALAMANCE,103,,,,,,,
2390,ALAMANCE,10N,,,,,,,
8,ALAMANCE,10S,,,,,,,
7,ALAMANCE,11,,,,,,,
2,ALAMANCE,1210,,,,,,,
2395,ALAMANCE,124,,,,,,,
6,ALAMANCE,125,,,,,,,
2394,ALAMANCE,126,,,,,,,
2393,ALAMANCE,127,,,,,,,
10,ALAMANCE,128,,,,,,,
2397,ALAMANCE,129,,,,,,,
132,ALAMANCE,12E,,,,,,,
5,ALAMANCE,12N,,,,,,,
82,ALAMANCE,12S,,,,,,,
133,ALAMANCE,12W,,,,,,,
2389,ALAMANCE,13,,,,,,,
59,ALEXANDER,B1,,,,,,,
60,ALEXANDER,B2,,,,,,,
61,ALEXANDER,E,,,,,,,
62,ALEXANDER,G1,,,,,,,
63,ALEXANDER,G2,,,,,,,
64,ALEXANDER,L,,,,,,,
65,ALEXANDER,M,,,,,,,
66,ALEXANDER,S1,,,,,,,
67,ALEXANDER,S2,,,,,,,
68,ALEXANDER,SL,,,,,,,
69,ALEXANDER,T1,,,,,,,
94,ALEXANDER,T2,,,,,,,
95,ALEXANDER,T3,,,,,,,
96,ALEXANDER,T4,,,,,,,
97,ALEXANDER,T5,,,,,,,
98,ALEXANDER,W,,,,,,,
39,ALLEGHANY,01,,,,,,,
42,ALLEGHANY,02,,,,,,,
2451,ALLEGHANY,03,,,,,,,
41,ALLEGHANY,04,,,,,,,
2452,ALLEGHANY,05,,,,,,,
85,ALLEGHANY,06,,,,,,,
44,ALLEGHANY,07,,,,,,,
78,ANSON,ANS,,,,,,,
77,ANSON,BURN,,,,,,,
79,ANSON,GULL,,,,,,,
72,ANSON,LILE,,,,,,,
76,ANSON,MM,,,,,,,
70,ANSON,PEAC,,,,,,,
80,ANSON,POLK,,,,,,,
73,ANSON,W1,,,,,,,
74,ANSON,W2,,,,,,,
75,ANSON,W3,,,,,,,
71,ANSON,WS,,,,,,,
1019,ASHE,02,,,,,,,
1017,ASHE,03,,,,,,,
1011,ASHE,04,,,,,,,
1043,ASHE,06,,,,,,,
1042,ASHE,07,,,,,,,
1045,ASHE,08,,,,,,,
2276,ASHE,09,,,,,,,
1018,ASHE,10,,,,,,,
